college,year,CIP,Category,Title,Level,Gender,Awards
UCD,2010,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,64
UCD,2010,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,8
UCD,2010,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship (new degree classification),Male,6
UCD,2010,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship (new degree classification),Male,2
UCD,2010,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,32
UCD,2010,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship (new degree classification),Male,6
UCD,2010,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,24
UCD,2010,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship (new degree classification),Male,1
UCD,2010,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,4
UCI,2010,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship (new degree classification),Male,0
UCI,2010,'04',Non-STEM,Architecture and Related Services,Doctor's degree - research/scholarship (new degree classification),Male,1
UCI,2010,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,33
UCI,2010,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,6
UCI,2010,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,41
UCI,2010,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,7
UCI,2010,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,4
UCI,2010,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,32
UCI,2010,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,10
UCI,2010,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship (new degree classification),Male,3
UCI,2010,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship (new degree classification),Male,3
UCI,2010,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,30
UCI,2010,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship (new degree classification),Male,6
UCI,2010,'44',Non-STEM,Public Administration and Social Service Professions,Doctor's degree - research/scholarship (new degree classification),Male,3
UCI,2010,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,13
UCI,2010,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship (new degree classification),Male,5
UCI,2010,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship (new degree classification),Male,4
UCI,2010,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,8
UCLA,2010,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship (new degree classification),Male,0
UCLA,2010,'04',Non-STEM,Architecture and Related Services,Doctor's degree - research/scholarship (new degree classification),Male,1
UCLA,2010,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship (new degree classification),Male,0
UCLA,2010,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,30
UCLA,2010,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,22
UCLA,2010,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,107
UCLA,2010,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,15
UCLA,2010,'22',Non-STEM,Legal Professions and Studies,Doctor's degree - research/scholarship (new degree classification),Male,0
UCLA,2010,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,3
UCLA,2010,'25',Non-STEM,Library Science,Doctor's degree - research/scholarship (new degree classification),Male,0
UCLA,2010,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,54
UCLA,2010,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,32
UCLA,2010,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship (new degree classification),Male,1
UCLA,2010,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship (new degree classification),Male,4
UCLA,2010,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,46
UCLA,2010,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship (new degree classification),Male,19
UCLA,2010,'44',Non-STEM,Public Administration and Social Service Professions,Doctor's degree - research/scholarship (new degree classification),Male,1
UCLA,2010,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,31
UCLA,2010,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship (new degree classification),Male,20
UCLA,2010,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship (new degree classification),Male,8
UCLA,2010,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship (new degree classification),Male,8
UCLA,2010,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,11
UCR,2010,'01',Non-STEM,"Agriculture, Agriculture Operations and Related Sciences",Doctor's degree - research/scholarship (new degree classification),Male,1
UCR,2010,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship (new degree classification),Male,2
UCR,2010,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,13
UCR,2010,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,5
UCR,2010,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,19
UCR,2010,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,1
UCR,2010,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,5
UCR,2010,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,16
UCR,2010,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,3
UCR,2010,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship (new degree classification),Male,2
UCR,2010,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,19
UCR,2010,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship (new degree classification),Male,1
UCR,2010,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,16
UCR,2010,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship (new degree classification),Male,1
UCR,2010,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,4
UCSD,2010,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship (new degree classification),Male,1
UCSD,2010,'09',Non-STEM,"Communication, Journalism, and Related Programs",Doctor's degree - research/scholarship (new degree classification),Male,1
UCSD,2010,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,20
UCSD,2010,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,8
UCSD,2010,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,70
UCSD,2010,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,1
UCSD,2010,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,1
UCSD,2010,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,57
UCSD,2010,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,8
UCSD,2010,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship (new degree classification),Male,5
UCSD,2010,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship (new degree classification),Male,1
UCSD,2010,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,41
UCSD,2010,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship (new degree classification),Male,7
UCSD,2010,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,30
UCSD,2010,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship (new degree classification),Male,9
UCSD,2010,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship (new degree classification),Male,3
UCSD,2010,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,4
UCSF,2010,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,5
UCSF,2010,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,5
UCSF,2010,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,36
UCSF,2010,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,3
UCSF,2010,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship (new degree classification),Male,10
UCSB,2010,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship (new degree classification),Male,1
UCSB,2010,'09',Non-STEM,"Communication, Journalism, and Related Programs",Doctor's degree - research/scholarship (new degree classification),Male,3
UCSB,2010,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,9
UCSB,2010,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,6
UCSB,2010,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,29
UCSB,2010,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,3
UCSB,2010,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,3
UCSB,2010,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,14
UCSB,2010,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,10
UCSB,2010,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship (new degree classification),Male,1
UCSB,2010,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship (new degree classification),Male,4
UCSB,2010,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,47
UCSB,2010,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship (new degree classification),Male,10
UCSB,2010,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,28
UCSB,2010,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship (new degree classification),Male,4
UCSB,2010,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,9
UCSC,2010,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship (new degree classification),Male,1
UCSC,2010,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,6
UCSC,2010,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,0
UCSC,2010,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,11
UCSC,2010,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,2
UCSC,2010,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,1
UCSC,2010,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,13
UCSC,2010,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,2
UCSC,2010,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship (new degree classification),Male,3
UCSC,2010,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship (new degree classification),Male,2
UCSC,2010,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,20
UCSC,2010,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship (new degree classification),Male,2
UCSC,2010,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,10
UCSC,2010,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship (new degree classification),Male,0
UCSC,2010,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,1
UCM,2010,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship (new degree classification),Male,2
UCM,2010,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,1
UCM,2010,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,5
UCM,2010,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,1
UCM,2010,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship (new degree classification),Male,1
UCM,2010,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,2
UCB,2011,'01',Non-STEM,"Agriculture, Agriculture Operations and Related Sciences",Doctor's degree - research/scholarship (new degree classification),Male,10
UCB,2011,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship (new degree classification),Male,15
UCB,2011,'04',Non-STEM,Architecture and Related Services,Doctor's degree - research/scholarship (new degree classification),Male,7
UCB,2011,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship (new degree classification),Male,7
UCB,2011,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,31
UCB,2011,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,15
UCB,2011,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,125
UCB,2011,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,18
UCB,2011,'22',Non-STEM,Legal Professions and Studies,Doctor's degree - research/scholarship (new degree classification),Male,13
UCB,2011,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,12
UCB,2011,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,50
UCB,2011,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,22
UCB,2011,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship (new degree classification),Male,16
UCB,2011,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship (new degree classification),Male,6
UCB,2011,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,82
UCB,2011,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship (new degree classification),Male,7
UCB,2011,'44',Non-STEM,Public Administration and Social Service Professions,Doctor's degree - research/scholarship (new degree classification),Male,2
UCB,2011,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,45
UCB,2011,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship (new degree classification),Male,4
UCB,2011,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship (new degree classification),Male,9
UCB,2011,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship (new degree classification),Male,11
UCB,2011,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,21
UCD,2011,'01',Non-STEM,"Agriculture, Agriculture Operations and Related Sciences",Doctor's degree - research/scholarship (new degree classification),Male,8
UCD,2011,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship (new degree classification),Male,1
UCD,2011,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,17
UCD,2011,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,12
UCD,2011,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,63
UCD,2011,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,9
UCD,2011,'19',Non-STEM,Family and Consumer Sciences/Human Sciences,Doctor's degree - research/scholarship (new degree classification),Male,0
UCD,2011,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,2
UCD,2011,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,66
UCD,2011,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,15
UCD,2011,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship (new degree classification),Male,3
UCD,2011,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship (new degree classification),Male,1
UCD,2011,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,36
UCD,2011,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship (new degree classification),Male,1
UCD,2011,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,22
UCD,2011,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship (new degree classification),Male,1
UCD,2011,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,4
UCI,2011,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship (new degree classification),Male,1
UCI,2011,'04',Non-STEM,Architecture and Related Services,Doctor's degree - research/scholarship (new degree classification),Male,1
UCI,2011,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,27
UCI,2011,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,5
UCI,2011,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,45
UCI,2011,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,6
UCI,2011,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,7
UCI,2011,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,31
UCI,2011,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,10
UCI,2011,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship (new degree classification),Male,2
UCI,2011,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship (new degree classification),Male,2
UCI,2011,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,42
UCI,2011,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship (new degree classification),Male,6
UCI,2011,'44',Non-STEM,Public Administration and Social Service Professions,Doctor's degree - research/scholarship (new degree classification),Male,2
UCI,2011,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,14
UCI,2011,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship (new degree classification),Male,6
UCI,2011,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship (new degree classification),Male,1
UCI,2011,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,6
UCLA,2011,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship (new degree classification),Male,4
UCLA,2011,'04',Non-STEM,Architecture and Related Services,Doctor's degree - research/scholarship (new degree classification),Male,5
UCLA,2011,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship (new degree classification),Male,0
UCLA,2011,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,23
UCLA,2011,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,20
UCLA,2011,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,86
UCLA,2011,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,20
UCLA,2011,'22',Non-STEM,Legal Professions and Studies,Doctor's degree - research/scholarship (new degree classification),Male,1
UCLA,2011,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,6
UCLA,2011,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,63
UCLA,2011,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,27
UCLA,2011,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship (new degree classification),Male,0
UCLA,2011,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship (new degree classification),Male,4
UCLA,2011,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,43
UCLA,2011,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship (new degree classification),Male,11
UCLA,2011,'44',Non-STEM,Public Administration and Social Service Professions,Doctor's degree - research/scholarship (new degree classification),Male,0
UCLA,2011,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,42
UCLA,2011,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship (new degree classification),Male,20
UCLA,2011,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship (new degree classification),Male,7
UCLA,2011,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship (new degree classification),Male,4
UCLA,2011,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,8
UCR,2011,'01',Non-STEM,"Agriculture, Agriculture Operations and Related Sciences",Doctor's degree - research/scholarship (new degree classification),Male,0
UCR,2011,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,7
UCR,2011,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,1
UCR,2011,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,25
UCR,2011,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,5
UCR,2011,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,1
UCR,2011,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,22
UCR,2011,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,15
UCR,2011,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship (new degree classification),Male,5
UCR,2011,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,23
UCR,2011,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship (new degree classification),Male,7
UCR,2011,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,12
UCR,2011,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship (new degree classification),Male,3
UCR,2011,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,3
UCSD,2011,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship (new degree classification),Male,1
UCSD,2011,'09',Non-STEM,"Communication, Journalism, and Related Programs",Doctor's degree - research/scholarship (new degree classification),Male,1
UCSD,2011,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,18
UCSD,2011,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,6
UCSD,2011,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,85
UCSD,2011,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,0
UCSD,2011,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,5
UCSD,2011,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,49
UCSD,2011,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,17
